ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/24/2014 10:00:00 AM,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,12,10,10,10,12,12,10,10,12,10,12,10,10,10,10
10/24/2014 11:00:00 AM,10,10,10,10,10,10,12,10,12,12,10,10,12,10,10,10,12,12,10,12,12,10,10,10,10,10,12,10,10,12,12,10,10,10,10,12,12,12,12,12,12,10,12,10,12,10,12,10,10,10,24,10,12,10,12,12,12,42,56,72
10/24/2014 12:00:00 PM,76,72,72,30,42,68,68,70,70,62,68,60,24,12,12,12,10,12,12,12,10,12,12,12,12,12,12,12,12,10,12,10,12,10,10,10,10,12,12,12,12,12,10,10,10,12,10,10,12,12,10,12,10,12,12,10,10,12,12,10
10/24/2014 1:00:00 PM,10,10,12,12,12,10,12,10,12,24,12,10,10,12,12,50,72,48,62,70,68,80,80,78,80,80,76,42,12,12,12,12,12,12,12,12,24,30,30,38,12,10,10,12,32,30,30,42,34,32,40,12,12,12,12,10,12,12,12,10
10/24/2014 2:00:00 PM,10,10,10,10,10,12,28,28,38,34,32,38,40,44,48,44,60,56,64,58,66,58,56,38,54,64,56,56,62,62,56,60,64,62,60,60,62,60,44,56,66,64,60,60,58,44,52,56,54,60,54,44,52,56,64,62,52,32,34,40
10/24/2014 3:00:00 PM,56,60,60,64,64,52,50,42,52,66,60,44,56,64,54,60,12,38,40,54,60,64,60,60,54,56,64,32,12,12,12,38,12,12,12,12,12,12,12,12,12,12,28,12,12,12,12,10,12,10,10,24,24,26,34,26,28,10,10,10
10/24/2014 4:00:00 PM,28,40,34,24,28,26,30,26,30,30,30,10,10,10,12,12,10,10,10,10,10,10,28,12,32,32,12,26,30,38,12,12,28,26,12,12,12,10,10,12,12,10,12,12,12,28,26,12,10,12,12,30,12,12,12,12,10,10,10,10
10/24/2014 5:00:00 PM,12,12,10,12,10,12,10,10,12,12,24,12,12,10,10,10,10,10,12,28,12,12,12,12,10,12,12,12,10,10,12,12,12,12,10,10,12,12,12,12,12,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10
10/24/2014 6:00:00 PM,12,12,12,10,10,10,12,10,12,10,12,12,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26,10,10,10,10,10,10,10
10/24/2014 7:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,34,26,34,12,26,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/24/2014 8:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
