ActivityDay,Calories
4/20/2014,2681
4/21/2014,2681
4/22/2014,3257
4/23/2014,2450
4/24/2014,2738
4/25/2014,2736
4/26/2014,2681
4/27/2014,2681
4/28/2014,2681
4/29/2014,2681
4/30/2014,2681
5/1/2014,2681
5/2/2014,2681
5/3/2014,2681
5/4/2014,2681
5/5/2014,2681
5/6/2014,2681
5/7/2014,2681
5/8/2014,2681
5/9/2014,2681
5/10/2014,2681
5/11/2014,2681
5/12/2014,2681
5/13/2014,2681
5/14/2014,2681
5/15/2014,2681
5/16/2014,2681
5/17/2014,2681
5/18/2014,2681
5/19/2014,2681
5/20/2014,2681
5/21/2014,2681
5/22/2014,2681
5/23/2014,2681
5/24/2014,2681
5/25/2014,2681
5/26/2014,2681
5/27/2014,2681
5/28/2014,2681
5/29/2014,2681
5/30/2014,2681
5/31/2014,3641
6/1/2014,2681
6/2/2014,3036
6/3/2014,3311
6/4/2014,2652
6/5/2014,2554
6/6/2014,2301
6/7/2014,2681
6/8/2014,2681
6/9/2014,2864
6/10/2014,2938
6/11/2014,2943
6/12/2014,2408
6/13/2014,2469
6/14/2014,2681
6/15/2014,2681
6/16/2014,2953
6/17/2014,2377
6/18/2014,2681
6/19/2014,2681
6/20/2014,3063
6/21/2014,3222
6/22/2014,2681
6/23/2014,2681
6/24/2014,2718
6/25/2014,2681
6/26/2014,2681
6/27/2014,2681
6/28/2014,2681
6/29/2014,2681
6/30/2014,2681
7/1/2014,2681
7/2/2014,2681
7/3/2014,2681
7/4/2014,2681
7/5/2014,2681
7/6/2014,2681
7/7/2014,2681
7/8/2014,2681
7/9/2014,2681
7/10/2014,2681
7/11/2014,2681
7/12/2014,2681
7/13/2014,2681
7/14/2014,2681
7/15/2014,2681
7/16/2014,2681
7/17/2014,2681
7/18/2014,2681
7/19/2014,2681
7/20/2014,2681
7/21/2014,2681
7/22/2014,2720
7/23/2014,2720
7/24/2014,2720
7/25/2014,2720
7/26/2014,2720
7/27/2014,2720
7/28/2014,2720
7/29/2014,2720
7/30/2014,2720
7/31/2014,2720
8/1/2014,2720
8/2/2014,2720
8/3/2014,2720
8/4/2014,2720
8/5/2014,2720
8/6/2014,2720
8/7/2014,2720
8/8/2014,2720
8/9/2014,2720
8/10/2014,2720
8/11/2014,2720
8/12/2014,2720
8/13/2014,2720
8/14/2014,2720
8/15/2014,2720
8/16/2014,2720
8/17/2014,2720
8/18/2014,2720
8/19/2014,2720
8/20/2014,2720
8/21/2014,2720
8/22/2014,2720
8/23/2014,2720
8/24/2014,2720
8/25/2014,2720
8/26/2014,2720
8/27/2014,2720
8/28/2014,2720
8/29/2014,2785
8/30/2014,3169
8/31/2014,2693
9/1/2014,2483
9/2/2014,3029
9/3/2014,2698
9/4/2014,2420
9/5/2014,2659
9/6/2014,2720
9/7/2014,2720
9/8/2014,2389
9/9/2014,2685
9/10/2014,2794
9/11/2014,3264
9/12/2014,3162
9/13/2014,2249
9/14/2014,2379
9/15/2014,2808
9/16/2014,2601
9/17/2014,2932
9/18/2014,2720
9/19/2014,2720
9/20/2014,2720
9/21/2014,2720
9/22/2014,2918
9/23/2014,2750
9/24/2014,2950
9/25/2014,2651
9/26/2014,3147
9/27/2014,2775
9/28/2014,2552
9/29/2014,2600
9/30/2014,2760
10/1/2014,2515
10/2/2014,2899
10/3/2014,2906
10/4/2014,3042
10/5/2014,2826
10/6/2014,2686
10/7/2014,2720
10/8/2014,2720
10/9/2014,3013
10/10/2014,2986
10/11/2014,1562
