ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
4/22/2013,443,196,63,22,0,1.2300000190734863,2.8199999332427979,1.8300000429153442
4/23/2013,688,205,57,2,0,1,1.7200000286102295,0.18999999761581421
4/24/2013,680,165,51,0,0,1.1299999952316284,1.8300000429153442,0.070000000298023224
4/25/2013,709,214,75,4,0,1.0700000524520874,1.8899999856948853,0.25999999046325684
4/26/2013,684,198,79,6,0,1,2.0999999046325684,0.28999999165534973
4/27/2013,468,333,126,5,0.0099999997764825821,1.8600000143051147,3.4800000190734863,0.40999999642372131
4/28/2013,568,301,127,11,0,1.6799999475479126,3.7699999809265137,0.89999997615814209
4/29/2013,726,221,44,1,0,1.4800000190734863,1.6100000143051147,0.079999998211860657
4/30/2013,727,146,40,1,0,0.9100000262260437,0.949999988079071,0.11999999731779099
5/1/2013,695,204,76,4,0,1.4600000381469727,2.309999942779541,0.33000001311302185
5/2/2013,1177,160,98,5,0,1.1499999761581421,3.369999885559082,0.37000000476837158
5/3/2013,896,30,4,0,0,0.039999999105930328,0.019999999552965164,0
5/4/2013,1440,0,0,0,0,0,0,0
5/5/2013,1076,259,96,9,0.0099999997764825821,2.4200000762939453,3.4500000476837158,0.47999998927116394
5/6/2013,1131,238,68,3,0,1.6399999856948853,2.119999885559082,0.18999999761581421
5/7/2013,194,225,52,8,0,1.2699999809265137,2.4500000476837158,0.8399999737739563
5/8/2013,1059,286,84,11,0.05000000074505806,2.3399999141693115,3.3900001049041748,1.0800000429153442
5/9/2013,222,207,39,11,0,1.1699999570846558,1.2100000381469727,0.81000000238418579
5/10/2013,732,196,108,13,0.0099999997764825821,0.92000001668930054,3.2100000381469727,0.87000000476837158
5/11/2013,1399,37,4,0,0,0.090000003576278687,0.079999998211860657,0
5/12/2013,1354,14,9,0,0,0.029999999329447746,0.15000000596046448,0
5/13/2013,726,167,113,13,0,1.0700000524520874,5.4200000762939453,1.0700000524520874
5/14/2013,278,113,45,1,0.019999999552965164,1.0299999713897705,1.6399999856948853,0.070000000298023224
5/15/2013,369,124,79,15,0.0099999997764825821,1.0800000429153442,3.130000114440918,2.059999942779541
5/16/2013,805,121,73,3,0.0099999997764825821,0.92000001668930054,3.1400001049041748,0.31000000238418579
5/17/2013,1228,128,68,16,0,1.0099999904632568,2.5999999046325684,1.690000057220459
5/18/2013,1208,124,59,11,0.0099999997764825821,0.52999997138977051,2.3599998950958252,1.0700000524520874
5/19/2013,751,60,6,0,0,0.15000000596046448,0.079999998211860657,0
5/20/2013,593,391,155,25,0,1.690000057220459,3.9100000858306885,1.5199999809265137
5/21/2013,707,196,58,2,0.0099999997764825821,1.1100000143051147,1.9500000476837158,0.20000000298023224
5/22/2013,1346,40,10,44,0,0.079999998211860657,0.090000003576278687,1.1299999952316284
5/23/2013,1435,3,2,0,0,0.0099999997764825821,0.019999999552965164,0
5/24/2013,1095,288,52,1,0.0099999997764825821,2.2200000286102295,1.3899999856948853,0.070000000298023224
5/25/2013,660,218,74,40,0,1.2999999523162842,2.5799999237060547,5.2399997711181641
5/26/2013,845,32,5,0,0,0.059999998658895493,0.039999999105930328,0
5/27/2013,1437,2,1,0,0,0,0,0
5/28/2013,1327,52,5,0,0,0.12999999523162842,0.079999998211860657,0
5/29/2013,773,180,42,1,0.0099999997764825821,1.0700000524520874,1.2899999618530273,0.070000000298023224
5/30/2013,876,107,21,1,0.0099999997764825821,0.550000011920929,0.8399999737739563,0.079999998211860657
5/31/2013,1440,0,0,0,0,0,0,0
6/1/2013,602,217,89,6,0,0.8399999737739563,2.5399999618530273,0.44999998807907104
6/2/2013,1209,147,82,2,0,0.74000000953674316,2.5699999332427979,0.25999999046325684
6/3/2013,883,299,93,15,0,1.7699999809265137,2.5799999237060547,1.1000000238418579
6/4/2013,441,362,86,2,0,2.7200000286102295,1.9500000476837158,0.070000000298023224
